,imageid,Object ID,Parent,X_centroid,Y_centroid,leiden_Res0.3
11261,20_09_N2_R2,e52abfd6-cde9-4ac2-be42-3ee3efce17f3,Capsule/Sinus/Medulla,2082.9,2255.8,5
11262,20_09_N2_R2,5b8efbf0-7bef-4d56-9f62-be68371638aa,Capsule/Sinus/Medulla,1634.7,2257.8,9
11264,20_09_N2_R2,d02ebd20-2b62-4953-82ab-87637f9b1e5a,Capsule/Sinus/Medulla,2740.6,2259.7,9
11265,20_09_N2_R2,40e85bdf-5226-4777-b717-8f54b5aa2657,Capsule/Sinus/Medulla,2401.8,2261.9,9
11266,20_09_N2_R2,09275199-5f16-4743-8005-b173930ae093,Capsule/Sinus/Medulla,3261.5,2262.2,5
11268,20_09_N2_R2,33a9ca90-ac68-4182-b540-6074bb1535d6,Capsule/Sinus/Medulla,1556.3,2265.3,5
11269,20_09_N2_R2,3bf71333-d35b-4f20-88a9-059a3871c710,Capsule/Sinus/Medulla,1464.0,2266.4,9
11270,20_09_N2_R2,dbe924ad-ec89-4df2-b8ca-53cd8b05e4a6,Capsule/Sinus/Medulla,2787.4,2268.6,5
11271,20_09_N2_R2,4c86e5ef-931b-4127-8ae4-57d5908d64bf,Capsule/Sinus/Medulla,1305.9,2275.1,9
11272,20_09_N2_R2,0dc3e6d3-56da-414f-a093-ca722afd5357,Capsule/Sinus/Medulla,510.5,2276.3,9
11273,20_09_N2_R2,2bbbba39-7805-46d2-8b32-fad4beaa4421,Capsule/Sinus/Medulla,1581.0,2277.2,9
11274,20_09_N2_R2,e9f39e28-7dd1-480e-8989-394833447bfd,Capsule/Sinus/Medulla,1106.5,2278.2,5
11275,20_09_N2_R2,8b66e175-fc79-45b4-ac80-5630ebb3f955,Capsule/Sinus/Medulla,2030.2,2278.5,9
11276,20_09_N2_R2,ad02c157-5537-49b2-a235-0888a315a284,Capsule/Sinus/Medulla,3239.3,2278.9,5
11277,20_09_N2_R2,705532f0-c58d-41a3-adc6-6663d539907e,Capsule/Sinus/Medulla,760.57,2279.2,9
